id_produto,nome_concorrente,preco_concorrente,data_coleta
PROD-0059,Amazon,100.01,2024-01-01T02:46:44
PROD-0072,Amazon,499.98,2024-01-01T06:14:58
PROD-0042,Magazine Luiza,837.68,2024-01-01T09:07:10
PROD-0029,Shopee,631.68,2024-01-01T12:07:59
PROD-0018,Mercado Livre,6778.22,2024-01-01T17:28:49
PROD-0008,Shopee,1799.86,2024-01-01T19:15:13
PROD-0062,Amazon,122.33,2024-01-01T19:35:06
PROD-0057,Shopee,101.85,2024-01-02T07:15:23
PROD-0005,Amazon,4250.97,2024-01-02T08:44:00
PROD-0018,Mercado Livre,6744.88,2024-01-02T09:51:16
PROD-0072,Shopee,353.66,2024-01-02T11:13:59
PROD-0018,Americanas,7196.73,2024-01-02T13:08:47
PROD-0052,Amazon,44.4,2024-01-02T14:15:56
PROD-0023,Americanas,358.32,2024-01-02T16:02:46
PROD-0001,Amazon,2901.26,2024-01-02T18:10:29
PROD-0004,Mercado Livre,3070.11,2024-01-02T18:44:23
PROD-0014,Amazon,4931.62,2024-01-02T19:34:51
PROD-0021,Americanas,264.35,2024-01-02T21:35:33
PROD-0066,Americanas,206.41,2024-01-02T21:57:13
PROD-0065,Shopee,154.67,2024-01-03T01:00:59
PROD-0007,Magazine Luiza,2962.07,2024-01-03T16:25:30
PROD-0014,Mercado Livre,4918.96,2024-01-03T16:26:14
PROD-0030,Americanas,81.12,2024-01-03T19:51:08
PROD-0030,Americanas,80.83,2024-01-03T20:39:46
PROD-0004,Magazine Luiza,3243.05,2024-01-03T20:44:26
PROD-0047,Magazine Luiza,56.95,2024-01-03T22:57:09
PROD-0072,Shopee,348.91,2024-01-04T01:06:21
PROD-0033,Americanas,306.74,2024-01-04T05:23:16
PROD-0039,Americanas,1318.08,2024-01-04T07:32:41
PROD-0007,Shopee,3273.2,2024-01-04T07:52:07
PROD-0051,Amazon,183.92,2024-01-04T09:17:33
PROD-0077,Shopee,233.05,2024-01-04T15:13:31
PROD-0004,Mercado Livre,3086.03,2024-01-04T15:22:05
PROD-0009,Shopee,3086.38,2024-01-05T00:34:24
PROD-0066,Amazon,228.54,2024-01-05T00:56:30
PROD-0015,Shopee,2529.59,2024-01-05T01:29:54
PROD-0022,Magazine Luiza,100.78,2024-01-05T02:34:10
PROD-0052,Shopee,36.77,2024-01-05T06:02:52
PROD-0043,Shopee,682.3,2024-01-05T06:36:01
PROD-0034,Americanas,321.46,2024-01-05T08:55:48
PROD-0032,Americanas,928.01,2024-01-05T09:32:17
PROD-0036,Mercado Livre,339.23,2024-01-05T15:12:45
PROD-0035,Magazine Luiza,843.68,2024-01-05T15:24:23
PROD-0044,Shopee,417.26,2024-01-05T15:49:54
PROD-0006,Mercado Livre,388.36,2024-01-05T20:54:56
PROD-0002,Amazon,3326.12,2024-01-05T23:02:32
PROD-0022,Mercado Livre,113.61,2024-01-05T23:31:14
PROD-0029,Magazine Luiza,718.7,2024-01-05T23:41:54
PROD-0037,Americanas,843.17,2024-01-06T03:13:59
PROD-0055,Mercado Livre,41.05,2024-01-06T04:53:52
PROD-0013,Magazine Luiza,4871.83,2024-01-06T04:55:12
PROD-0035,Mercado Livre,836.14,2024-01-06T09:41:32
PROD-0056,Mercado Livre,30.83,2024-01-06T11:37:22
PROD-0037,Magazine Luiza,1084.13,2024-01-06T12:20:34
PROD-0017,Amazon,3659.14,2024-01-06T12:52:39
PROD-0016,Americanas,2386.9,2024-01-06T15:03:43
PROD-0046,Amazon,528.59,2024-01-06T17:55:00
PROD-0031,Mercado Livre,473.73,2024-01-06T20:10:07
PROD-0066,Shopee,238.93,2024-01-06T21:38:32
PROD-0073,Amazon,353.11,2024-01-07T01:45:43
PROD-0029,Shopee,679.21,2024-01-07T12:43:53
PROD-0050,Magazine Luiza,499.55,2024-01-07T14:32:46
PROD-0035,Shopee,609.51,2024-01-07T15:04:02
PROD-0077,Shopee,237.48,2024-01-07T15:53:35
PROD-0057,Mercado Livre,116.97,2024-01-07T16:16:26
PROD-0025,Americanas,189.57,2024-01-07T16:29:59
PROD-0027,Mercado Livre,201.12,2024-01-07T18:54:47
PROD-0045,Mercado Livre,511.52,2024-01-08T00:13:44
PROD-0006,Amazon,422.62,2024-01-08T01:34:35
PROD-0010,Amazon,4470.16,2024-01-08T03:11:23
PROD-0009,Mercado Livre,3435.32,2024-01-08T04:51:26
PROD-0077,Americanas,155.27,2024-01-08T09:53:38
PROD-0064,Shopee,235.9,2024-01-08T17:03:53
PROD-0027,Mercado Livre,201.16,2024-01-08T20:30:50
PROD-0016,Shopee,3318.46,2024-01-09T09:35:06
PROD-0035,Mercado Livre,891.46,2024-01-09T12:47:53
PROD-0062,Magazine Luiza,92.56,2024-01-09T14:18:18
PROD-0024,Magazine Luiza,318.58,2024-01-09T14:49:55
PROD-0063,Magazine Luiza,240.9,2024-01-09T21:50:12
PROD-0079,Magazine Luiza,486.27,2024-01-10T07:10:56
PROD-0073,Magazine Luiza,493.94,2024-01-10T17:12:18
PROD-0047,Amazon,81.06,2024-01-10T18:32:23
PROD-0013,Magazine Luiza,4816.98,2024-01-10T19:26:11
PROD-0001,Americanas,2816.01,2024-01-10T19:47:04
PROD-0021,Amazon,386.18,2024-01-10T20:43:27
PROD-0055,Shopee,42.16,2024-01-11T08:51:41
PROD-0002,Shopee,3787.83,2024-01-11T10:52:28
PROD-0033,Amazon,365.74,2024-01-11T11:06:29
PROD-0006,Amazon,443.33,2024-01-11T13:00:54
PROD-0029,Magazine Luiza,724.38,2024-01-11T14:24:46
PROD-0023,Mercado Livre,418.11,2024-01-11T14:25:47
PROD-0019,Americanas,3553.16,2024-01-11T15:40:49
PROD-0023,Mercado Livre,429.87,2024-01-11T15:50:13
PROD-0073,Mercado Livre,466.73,2024-01-11T19:23:13
PROD-0079,Americanas,425.4,2024-01-11T21:56:30
PROD-0022,Shopee,135.71,2024-01-12T03:08:46
PROD-0001,Magazine Luiza,3581.97,2024-01-12T11:36:57
PROD-0053,Americanas,138.59,2024-01-12T14:20:01
PROD-0064,Americanas,179.23,2024-01-12T16:26:49
PROD-0043,Americanas,881.63,2024-01-12T17:23:11
PROD-0014,Shopee,4391.17,2024-01-12T18:26:22
PROD-0047,Amazon,78.77,2024-01-12T18:31:49
PROD-0055,Shopee,40.57,2024-01-12T21:58:04
PROD-0037,Shopee,764.64,2024-01-13T00:19:23
PROD-0049,Americanas,148.37,2024-01-13T01:13:29
PROD-0024,Americanas,463.8,2024-01-13T10:28:34
PROD-0031,Mercado Livre,519.03,2024-01-13T12:30:38
PROD-0053,Shopee,144.6,2024-01-13T15:16:29
PROD-0034,Americanas,314.28,2024-01-13T15:34:15
PROD-0025,Shopee,182.51,2024-01-14T02:21:30
PROD-0018,Magazine Luiza,4270.92,2024-01-14T11:59:40
PROD-0054,Amazon,176.57,2024-01-14T15:19:49
PROD-0062,Magazine Luiza,90.9,2024-01-14T16:19:04
PROD-0010,Amazon,4385.6,2024-01-14T17:13:53
PROD-0044,Americanas,304.35,2024-01-15T00:50:40
PROD-0052,Americanas,44.45,2024-01-15T09:13:48
PROD-0045,Americanas,323.14,2024-01-15T10:20:05
PROD-0018,Magazine Luiza,4203.43,2024-01-15T11:42:16
PROD-0079,Shopee,337.06,2024-01-15T16:52:22
PROD-0041,Mercado Livre,216.92,2024-01-15T17:16:04
PROD-0039,Mercado Livre,1004.68,2024-01-15T20:26:52
