id_venda,data_venda,id_cliente,id_produto,canal_venda,quantidade,preco_unitario
VND-0003854,2024-01-01T01:19:34,CLI-00356,PROD-0034,Midia Paga,1,430.49
VND-0014166,2024-01-01T02:06:11,CLI-00049,PROD-0010,Midia Paga,1,4000.3
VND-0007557,2024-01-01T05:10:00,CLI-00182,PROD-0069,Loja Física,1,91.19
VND-0014097,2024-01-01T06:35:38,CLI-00196,PROD-0038,App Mobile,1,81.89
VND-0011367,2024-01-01T07:39:12,CLI-00093,PROD-0042,Organico,1,807.19
VND-0003742,2024-01-01T08:48:48,CLI-00182,PROD-0068,Marketplace,4,103.18
VND-0006334,2024-01-01T08:57:46,CLI-00084,PROD-0048,Midia Paga,1,240.69
VND-0007907,2024-01-01T09:06:45,CLI-00055,PROD-0055,Loja Física,2,38.11
VND-0006752,2024-01-01T09:28:52,CLI-00011,PROD-0057,Site,5,91.9
VND-0004429,2024-01-01T09:57:19,CLI-00040,PROD-0054,Midia Paga,2,148.38
VND-0002412,2024-01-01T10:03:11,CLI-00171,PROD-0022,Midia Paga,4,126.32
VND-0010699,2024-01-01T10:18:23,CLI-00314,PROD-0076,Midia Paga,1,422.3
VND-0003543,2024-01-01T10:28:41,CLI-00018,PROD-0073,Midia Paga,1,423.21
VND-0003961,2024-01-01T10:46:40,CLI-00062,PROD-0020,App Mobile,1,8338.61
VND-0003095,2024-01-01T11:04:27,CLI-00112,PROD-0074,Site,3,182.07
VND-0000453,2024-01-01T11:07:01,CLI-00413,PROD-0030,Redes Sociais,1,68.8
VND-0006371,2024-01-01T11:14:07,CLI-00082,PROD-0057,App Mobile,2,93.9
VND-0012522,2024-01-01T11:37:47,CLI-00093,PROD-0021,App Mobile,1,290.38
VND-0003405,2024-01-01T12:04:06,CLI-00389,PROD-0028,Loja Física,1,452.6
VND-0004749,2024-01-01T13:06:54,CLI-00279,PROD-0036,App Mobile,1,337.98
VND-0010597,2024-01-01T13:51:06,CLI-00047,PROD-0030,Site,2,58.94
VND-0008995,2024-01-01T14:13:08,CLI-00070,PROD-0012,Midia Paga,2,5181.1
VND-0002248,2024-01-01T14:32:36,CLI-00081,PROD-0053,Site,5,138.76
VND-0013455,2024-01-01T15:26:38,CLI-00044,PROD-0053,App Mobile,1,151.0
VND-0001418,2024-01-01T15:39:38,CLI-00192,PROD-0031,Midia Paga,2,649.36
